# cookbook — entries already reviewed by inspiration-sweep. One per line: id<TAB>firstSeen<TAB>title
# Delete a line (or: snapshot.mjs forget cookbook <id>) to have the next sweep look at it again.
misc-sampling-past-max-tokens	2026-08-13	Sampling beyond the max tokens limit
misc-session-memory-compaction	2026-08-13	Session memory compaction
misc-speculative-prompt-caching	2026-08-13	Speculative prompt caching
misc-using-citations	2026-08-13	Citations
multimodal-best-practices-for-vision	2026-08-13	Best practices for using vision
multimodal-crop-tool	2026-08-13	Giving Claude a zoom tool for reading fine image detail
multimodal-getting-started-with-vision	2026-08-13	Getting started with vision
multimodal-how-to-transcribe-text	2026-08-13	How to transcribe documents
multimodal-reading-charts-graphs-powerpoints	2026-08-13	Working with charts, graphs, slide decks
multimodal-using-sub-agents	2026-08-13	Using Haiku as a sub-agent
observability-usage-cost-api	2026-08-13	Usage & cost Admin API cookbook
patterns-agents-async-multi-agent-orchestration	2026-08-13	Async multi-agent orchestration
patterns-agents-basic-workflows	2026-08-13	Basic workflows
patterns-agents-evaluator-optimizer	2026-08-13	Evaluator optimizer
patterns-agents-orchestrator-workers	2026-08-13	Orchestrator workers
skills-notebooks-01-skills-introduction	2026-08-13	Introduction to Claude Skills
skills-notebooks-02-skills-financial-applications	2026-08-13	Claude Skills for financial applications
skills-notebooks-03-skills-custom-development	2026-08-13	Building custom Skills for Claude
third-party-deepgram-prerecorded-audio	2026-08-13	Transcribe an audio file with Deepgram
third-party-elevenlabs-low-latency-stt-claude-tts	2026-08-13	Low latency voice assistant with ElevenLabs
third-party-llamaindex-basic-rag-with-llamaindex	2026-08-13	RAG pipeline with LlamaIndex
third-party-llamaindex-multi-document-agents	2026-08-13	Multi-document agents
third-party-llamaindex-multi-modal	2026-08-13	Multi-modal (LlamaIndex)
third-party-llamaindex-react-agent	2026-08-13	ReAct agent
third-party-llamaindex-router-query-engine	2026-08-13	RouterQuery engine
third-party-llamaindex-subquestion-query-engine	2026-08-13	SubQuestionQueryEngine
third-party-mongodb-rag-using-mongodb	2026-08-13	RAG system with MongoDB
third-party-pinecone-claude-3-rag-agent	2026-08-13	RAG agents with LangChain v1
third-party-pinecone-rag-using-pinecone	2026-08-13	RAG using Pinecone
third-party-wikipedia-wikipedia-search-cookbook	2026-08-13	Iteratively searching Wikipedia
third-party-wolframalpha-using-llm-api	2026-08-13	Wolfram Alpha LLM API as a tool
tool-evaluation-tool-evaluation	2026-08-13	Tool evaluation
tool-use-automatic-context-compaction	2026-08-13	Automatic context compaction
tool-use-calculator-tool	2026-08-13	Using a calculator tool
tool-use-context-engineering-context-engineering-tools	2026-08-13	Context engineering: memory, compaction, tool clearing
tool-use-customer-service-agent	2026-08-13	Customer service agent with client-side tools
tool-use-extracting-structured-json	2026-08-13	Extracting structured JSON
tool-use-memory-cookbook	2026-08-13	Memory & context management
tool-use-parallel-tools	2026-08-13	Parallel tool calls
tool-use-programmatic-tool-calling-ptc	2026-08-13	Programmatic tool calling (PTC)
tool-use-threat-intel-enrichment-agent	2026-08-13	Threat intelligence enrichment agent
tool-use-tool-choice	2026-08-13	Tool choice
tool-use-tool-search-with-embeddings	2026-08-13	Tool search with embeddings
tool-use-tool-use-with-pydantic	2026-08-13	Note-saving tool with Pydantic
tool-use-vision-with-tools	2026-08-13	Using vision with tools
